Ид,Дата,Часовой пояс,Операция
10010,03.10.2022 2:16,UTC+0,Блокировка
10030,03.10.2022 2:20,UTC+0,Блокировка
10050,03.10.2022 4:20,UTC+0,Блокировка
10060,03.10.2022 4:50,UTC+0,Блокировка
10070,03.10.2022 5:01,UTC+0,Блокировка
10080,03.10.2022 5:27,UTC+0,Блокировка
10090,03.10.2022 5:54,UTC+0,Блокировка
10100,03.10.2022 6:08,UTC+0,Блокировка
10110,03.10.2022 6:35,UTC+0,Блокировка
10120,03.10.2022 6:53,UTC+0,Блокировка
10130,03.10.2022 7:08,UTC+0,Блокировка
10150,03.10.2022 7:41,UTC+0,Блокировка
10160,03.10.2022 7:53,UTC+0,Блокировка
10170,03.10.2022 7:58,UTC+0,Блокировка
10180,03.10.2022 8:19,UTC+0,Блокировка
10190,03.10.2022 8:24,UTC+0,Блокировка
10200,03.10.2022 8:33,UTC+0,Блокировка
10210,03.10.2022 8:43,UTC+0,Блокировка
10230,03.10.2022 9:18,UTC+0,Блокировка
10240,03.10.2022 9:36,UTC+0,Блокировка
10250,03.10.2022 9:44,UTC+0,Блокировка
10260,03.10.2022 9:58,UTC+0,Блокировка
10270,03.10.2022 10:03,UTC+0,Блокировка
10280,03.10.2022 10:14,UTC+0,Блокировка
10290,03.10.2022 10:18,UTC+0,Блокировка
10140,03.10.2022 10:26,UTC+0,Блокировка
10300,03.10.2022 10:34,UTC+0,Блокировка
10040,03.10.2022 10:48,UTC+0,Блокировка
10310,03.10.2022 10:54,UTC+0,Блокировка
10320,03.10.2022 11:10,UTC+0,Блокировка
10330,03.10.2022 11:13,UTC+0,Блокировка
10340,03.10.2022 11:20,UTC+0,Блокировка
10220,03.10.2022 11:21,UTC+0,Блокировка
10360,03.10.2022 11:36,UTC+0,Блокировка
10350,03.10.2022 11:37,UTC+0,Блокировка
10370,03.10.2022 11:45,UTC+0,Блокировка
10380,03.10.2022 11:54,UTC+0,Блокировка
10390,03.10.2022 12:03,UTC+0,Блокировка
10400,03.10.2022 12:07,UTC+0,Блокировка
10410,03.10.2022 12:10,UTC+0,Блокировка
10020,03.10.2022 12:23,UTC+0,Блокировка
10430,03.10.2022 12:30,UTC+0,Блокировка
10420,03.10.2022 12:39,UTC+0,Блокировка
10440,03.10.2022 12:47,UTC+0,Блокировка
10450,03.10.2022 12:56,UTC+0,Блокировка
10460,03.10.2022 12:59,UTC+0,Блокировка
10470,03.10.2022 13:16,UTC+0,Блокировка
10480,03.10.2022 13:21,UTC+0,Блокировка
10490,03.10.2022 13:38,UTC+0,Блокировка
10500,03.10.2022 13:51,UTC+0,Блокировка
10510,03.10.2022 14:07,UTC+0,Блокировка
10520,03.10.2022 14:25,UTC+0,Блокировка
10530,03.10.2022 14:44,UTC+0,Блокировка
10540,03.10.2022 14:56,UTC+0,Блокировка
10550,03.10.2022 15:16,UTC+0,Блокировка
10560,03.10.2022 15:40,UTC+0,Блокировка
10580,04.10.2022 5:09,UTC+0,Блокировка
10590,04.10.2022 5:50,UTC+0,Блокировка
10600,04.10.2022 6:29,UTC+0,Блокировка
10620,04.10.2022 7:19,UTC+0,Блокировка
10630,04.10.2022 7:43,UTC+0,Блокировка
10640,04.10.2022 8:03,UTC+0,Блокировка
10650,04.10.2022 8:43,UTC+0,Блокировка
10660,04.10.2022 9:00,UTC+0,Блокировка
10610,04.10.2022 9:23,UTC+0,Блокировка
10670,04.10.2022 9:33,UTC+0,Блокировка
10680,04.10.2022 10:01,UTC+0,Блокировка
10690,04.10.2022 10:17,UTC+0,Блокировка
10700,04.10.2022 10:36,UTC+0,Блокировка
10720,04.10.2022 11:16,UTC+0,Блокировка
10730,04.10.2022 11:20,UTC+0,Блокировка
10740,04.10.2022 11:32,UTC+0,Блокировка
10750,04.10.2022 11:36,UTC+0,Блокировка
10760,04.10.2022 11:41,UTC+0,Блокировка
10770,04.10.2022 12:22,UTC+0,Блокировка
10780,04.10.2022 12:24,UTC+0,Блокировка
10790,04.10.2022 12:28,UTC+0,Блокировка
10800,04.10.2022 12:37,UTC+0,Блокировка
10810,04.10.2022 12:40,UTC+0,Блокировка
10820,04.10.2022 13:24,UTC+0,Блокировка
10830,04.10.2022 13:27,UTC+0,Блокировка
10840,04.10.2022 13:29,UTC+0,Блокировка
10850,04.10.2022 13:51,UTC+0,Блокировка
10860,04.10.2022 13:53,UTC+0,Блокировка
10710,04.10.2022 13:54,UTC+0,Блокировка
10870,04.10.2022 13:56,UTC+0,Блокировка
10880,04.10.2022 14:01,UTC+0,Блокировка
10890,04.10.2022 14:18,UTC+0,Блокировка
